"Preis";"Kerne";"Takt_Prozessor";"Arbeitsspeicher";"Bild_Display";"Speicher_Grafik";"extern_Schnittstellen";"HDD";"SSD";"Akku_Kapazitaet";"PPI_Display";"Pixelshader";"Typ_Arbeitsspeicher_DDR_4";"Laufwerk_VORHANDEN";"Lautsprecher_UEBERDURCHSCHN";"Tastatur_Beleuchtung_vorhanden";"Fingerabdrucksensor_vorhanden";"Touchscreen_vorhanden";"Mobilfunk_vorhanden";"NFC_vorhanden";"Akku_Typ_ION";"Marke_HP";"Marke_ASUS";"Marke_Acer";"Marke_Apple";"Marke_Dell";"Marke_Lenovo";"Betriebssystem_Windows";"Betriebssystem_Mac";"Betriebssystem_DOS";"Betriebssystem_LINUX";"Betriebssystem_OHNE";"Mikrofon_Sound_vorhanden"
299;2;2600;8;15,6;0;6;0;256;41;141;192;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
899;6;2200;8;15,6;6144;9;1000;128;70;141;1280;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
199;2;2300;4;15,6;0;2300;0;128;41;100;128;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
1399;6;2200;16;15,6;4096;6;0;512;71;141;640;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
999;4;1800;16;13,3;4096;4;0;256;50;165;384;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
849;4;1800;8;15,6;0;6;0;256;56;141;24;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1099;6;2200;16;15,6;6144;9;1000;256;70;141;1280;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1599;6;2600;16;15,6;6144;8;0;512;66;141;1920;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1999;6;2600;16;17,3;8192;9;0;512;70;127;2944;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
589;4;1600;8;13,3;0;6;0;256;45;165;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
1099;4;2300;8;15,6;4096;6;0;256;95,6;141;640;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1049;4;1800;16;17,3;2048;8;1000;256;48;127;384;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
749;4;1800;8;13,3;0;6;1000;256;45;165;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
1099;6;2200;16;15,6;4096;9;1000;256;70;141;768;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
969;4;1600;16;14;2048;6;0;512;48;157;384;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1049;4;2300;8;17,3;4096;5;1000;128;64;127;640;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
999;6;2200;8;17,3;4096;9;1000;128;86;127;768;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1499;6;2200;16;15,6;8192;8;1000;512;70;141;2048;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1999;6;2600;16;15,6;8192;9;0;512;69;141;2304;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
2499;6;2900;16;15,6;4096;6;0;1000;71;282;768;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
849;4;1800;16;15,6;2048;6;1000;256;45;141;384;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
1399;6;2200;8;17,3;6144;7;1000;128;48;127;1280;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1079;4;1600;16;15,6;0;8;0;512;48;141;24;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1
749;4;1600;8;14;0;6;0;256;48;157;24;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1
499;4;1600;8;15,6;2048;6;0;256;41;141;24;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1129;4;1800;8;14;4096;5;0;256;70;157;640;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
1299;6;2200;8;17,3;6144;7;1000;256;48;127;1280;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
649;4;1600;8;13,3;0;6;0;256;45;165;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
649;4;1600;8;14;0;6;0;256;45;157;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1129;4;1800;16;17,3;2048;8;1000;512;48;127;384;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
934;4;1800;8;15,6;4096;6;0;256;68;141;768;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
1799;6;2600;16;17,3;6144;8;0;512;58,7;127;1920;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
899;4;2200;8;14;0;7;0;512;50;157;640;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
999;4;1800;16;15,6;4096;6;1000;256;42;141;384;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1049;4;1800;32;13,3;0;6;1000;512;45;165;24;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
2099;4;1800;16;13,3;0;5;0;512;56,2;165;24;0;0;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1
969;4;1600;16;17,3;2048;8;0;512;48;127;384;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
479;4;2100;8;14;0;6;0;256;41;157;512;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
2999;8;2300;32;17,3;8192;8;2000;1024;70;127;2944;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
1599;6;2600;16;17,3;6144;8;0;512;66;127;1536;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1299;4;2300;8;17,3;6144;9;1000;128;86;127;1280;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1612,1;6;2600;16;17,3;6144;8;0;512;58,7;127;1536;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1449;6;2600;16;17,3;6144;7;1000;512;55;127;1536;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
749;4;2100;8;17,3;4096;6;0;512;64;127;1024;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1
1999;6;2200;16;15,6;4096;8;0;512;90;282;768;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
2599;8;2300;16;15,6;8192;7;1000;512;66;141;2304;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
949;4;1800;8;15,6;2048;7;1000;512;48;141;384;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
969;4;1800;8;17,3;2048;8;0;256;48;127;384;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
999;6;2600;16;17,3;4096;7;0;512;52,5;127;896;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
1099;6;2600;8;17,3;3072;7;0;512;55;127;640;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1399;6;2600;16;15,6;6144;8;1000;128;57;141;1536;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
869;4;1600;8;17,3;2048;8;1000;256;48;127;384;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
829;4;1800;8;17,3;2048;5;1000;128;30;127;24;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
1229;4;2300;16;15,6;6144;7;1000;256;56;141;1280;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1
569;4;1600;8;15,6;0;5;0;256;37;141;24;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1699;6;2600;16;17,3;6144;9;1000;512;70;127;1920;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1199;6;2600;16;15,6;4096;7;1000;256;52,5;141;896;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
569;4;1600;8;14;0;6;0;256;42;157;24;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1049;4;1800;16;15,6;2048;7;1000;512;48;141;384;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1199;4;2400;8;15,6;6144;8;0;512;69;141;1920;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1
1399;6;2600;16;15,6;6144;7;0;512;52,5;141;1536;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
1699;4;1800;16;14;0;6;0;512;56;157;24;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1699;4;1800;16;13,3;0;5;0;512;56,2;165;24;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1299;4;1800;16;17,3;4096;6;0;512;52;127;384;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
999;4;1800;16;14;0;6;0;512;45;157;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
899;4;1600;8;14;0;6;0;512;48;157;24;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1
3399;8;2400;32;17,3;8192;11;0;1024;72;127;2944;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
899;4;2300;8;15,6;6144;6;1000;128;63,3;141;1280;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
999;6;2600;16;15,6;4096;7;0;512;52,5;141;896;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1
1979;4;1800;16;14;0;4;0;512;52;161;24;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
399;4;2100;8;15,6;0;6;0;256;41;141;512;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
1099;4;1600;8;14;0;7;0;256;50;157;24;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1999;6;2600;16;17,3;8192;8;0;512;58,7;127;2304;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1179;4;2300;8;17,3;6144;6;0;512;64;127;1536;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
649;4;1600;8;14;0;6;0;256;48;157;24;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
2499;6;2600;32;17,3;8192;11;0;512;72;127;2304;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1299;4;1800;16;13,3;0;4;0;512;52;165;24;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1
499;4;2000;8;14;0;6;1000;128;41;157;512;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
1099;6;2200;8;15,6;4096;7;1000;256;48;141;768;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
919;4;1800;8;15,6;2048;5;0;512;52,5;141;256;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1379;4;1400;8;13,3;0;3;0;128;58,2;226;48;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
599;4;2000;8;14;0;5;0;256;45;157;512;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
799;4;1800;8;13,3;0;4;0;256;53,2;165;24;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
869;4;1600;8;17,3;2048;8;1000;128;48;127;384;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1899;6;2600;16;15,6;8192;9;1000;512;69;141;2304;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
979;4;1600;16;14;0;6;0;256;48;157;24;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1
599;4;1600;8;15,6;0;6;0;256;45;141;24;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
1069;6;2200;8;17,3;2048;5;1000;256;45;127;640;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
1799;6;2600;8;17,3;8192;6;0;512;66;127;2304;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1
1199;6;2600;8;17,3;4096;7;0;512;55;127;896;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
669;4;1600;8;15,6;4096;6;0;256;42;141;384;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
2449;6;2200;16;15,6;4096;5;0;2048;84;282;768;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1249;4;1600;8;13,3;0;4;0;256;61;165;24;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
769;4;1800;8;15,6;2048;6;0;256;45;141;384;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
999;4;1600;8;14;2048;7;0;256;50;157;512;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
1179;6;2200;8;15,6;6144;7;1000;128;48;141;1280;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
2299;6;2600;32;15,6;8192;9;1000;512;69;282;2304;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
3999;6;2900;16;17,3;8192;8;0;512;95,6;254;2304;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
1599;6;2600;16;15,6;6144;8;0;1024;55;141;1536;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
899;4;1800;8;14;2048;6;0;512;48;157;384;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
3999;8;2300;32;15,6;8192;7;0;2000;72;282;2944;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
1799;6;2600;16;17,3;6144;8;1000;512;57;127;1920;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1349;6;2600;16;15,6;6144;7;1000;128;70;141;1536;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
1049;6;2200;16;17,3;4096;6;1000;128;56;127;768;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
1599;6;2600;16;17,3;6144;9;1000;512;70;127;1536;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
2229;4;1800;16;15,6;2048;8;0;1000;72;282;256;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1
849;4;1600;8;13,3;0;7;0;256;50;165;24;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
1449;4;1600;16;13,3;0;5;0;512;56,2;165;24;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1699;6;2200;32;15,6;8192;9;1000;512;70;141;2048;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1699;6;2600;8;15,6;8192;8;0;512;66;141;2304;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1
1479;6;2600;16;15,6;4096;8;0;256;68;141;384;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
1399;6;2600;16;15,6;6144;7;1000;256;52,5;141;1536;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
899;4;2200;8;15,6;0;5;1000;128;52,5;141;640;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
799;4;1600;8;13,3;4096;6;0;256;50;165;384;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
2699;6;2200;16;17,3;8192;8;1000;256;74;127;2944;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1599;6;2600;16;15,6;6144;9;1000;512;69;141;1536;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
399;2;2600;8;17,3;0;6;0;256;41;127;192;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
1399;6;2200;16;15,6;6144;9;1000;512;70;141;1280;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
949;4;1600;16;15,6;2048;6;1000;512;45;141;384;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1049;6;2200;8;15,6;6144;7;0;256;48;141;1280;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1
1499;6;2600;16;15,6;6144;7;0;512;66;141;1536;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
2779;6;2900;16;15,6;4096;6;0;512;95,6;282;768;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
1199;4;1800;16;13,3;2048;4;0;512;53;165;384;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
799;4;1800;16;15,6;0;6;0;512;41;141;24;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
2449;6;2600;32;15,6;4096;8;0;512;90;141;768;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
519;4;1600;8;15,6;0;6;0;256;36;141;24;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1
849;4;1600;8;14;0;7;0;256;50;157;24;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
1299;6;2200;8;15,6;4096;6;0;512;95,6;282;640;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1034;6;2200;8;15,6;4096;7;1000;128;48;141;768;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1399;6;2600;8;17,3;6144;7;1000;512;55;127;1536;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1049;4;1800;16;15,6;2048;7;0;512;45;141;640;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1199;4;2200;8;14;0;7;0;512;50;157;640;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1499;6;2600;8;15,6;6144;8;0;512;66;141;1920;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1
2699;6;2600;32;15,6;4096;8;0;512;90;282;768;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
849;4;1600;8;13,3;4096;6;0;512;50;165;384;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1099;4;1600;8;14;2048;7;0;512;50;157;512;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
479;2;2500;8;14;0;6;0;256;41;111;192;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
499;4;2100;8;15,6;0;6;1000;128;41;141;512;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
699;4;1600;8;15,6;2048;6;1000;256;45;141;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1929;4;1800;16;15,6;2048;7;0;512;57;141;384;1;0;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1149;4;1600;16;14;4096;5;0;256;57;157;384;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1599;4;1600;8;13,3;0;5;0;256;56,2;165;24;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1099;4;1800;16;15,6;4096;5;0;256;45;141;384;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
569;4;1600;8;15,6;0;5;0;256;37;141;24;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
2079;6;2200;16;15,6;4096;5;0;512;97;282;768;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1
1049;4;1800;8;13,3;0;3;0;256;50;165;24;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
569;4;1600;8;14;0;6;0;256;42;157;24;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1599;4;1900;16;14;0;8;0;512;60;157;24;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
629;4;1600;8;15,6;2048;6;1000;128;45;141;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
999;6;2200;8;15,6;4096;6;1000;128;56;141;768;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1
999;6;2200;16;15,6;4096;6;1000;128;52,5;141;768;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
2199;6;2600;16;17,3;8192;8;0;1000;58,7;127;2304;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1329;2;2500;8;13,3;0;4;0;256;57;165;24;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1
799;4;1600;8;13,3;0;6;0;512;50;165;24;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
469;2;2500;8;15,6;0;5;0;256;33;141;24;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1299;4;1600;16;13,3;0;4;0;512;38;331;24;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
1040,95;4;1800;8;14;2048;5;0;512;48;157;384;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
699;4;1800;8;15,6;2048;6;0;512;41;141;24;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1299;4;1600;16;13,3;0;6;0;512;45;165;24;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
919;4;1800;16;17,3;2048;6;1000;256;36;127;256;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1799;4;1800;16;13,3;0;4;0;1000;61;165;24;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
999;4;1800;16;14;2048;6;0;512;41;157;384;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
989;4;1800;16;13,3;0;6;1000;256;45;165;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
649;4;1600;8;15,6;2048;6;0;512;41;141;24;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
